,,,,,,,,,,,Map,,,Barchart,,,,,Linechart,,,,,,,,,,,,,Visual Features,,,Inform the severity,,,,Gauge the impact of crisis,,,,,Forecast trends and influences,,,,Guide to mitigate risks,,,,,Examinie the nature of the crisis,,,,,Data Handling,,,,
Title,URL,Publisher,Country,Source Type,Date Recorded,Date,Data Citation,Data Update,Time-series,Interactivity,Choropleth Map,Bubble Map,Other Map,Classic Barchart,Simple Stacked Barchart,100% Stacked Barchark,Diverging Stacked Barchart,Spanchart,Classic Linechart,Areachart,Stacked Areachart,Streamgraph,Piechart,Treemap,Scatterplot,Network,Bubblechart,Flowchart,Heatmap,Radar,Other Chart,Small Multiples,Dashboard,Severity in general,Magnitude Spread,"Supplies, Preparedness Capacities",Historical comparison,Impacts in general,Economic impact,Social impact,Environment impact,Political impact,Policy Order Intervention Related,Forecasting,R-Naught,Projections of numbers,Guide in general,Social Distancing,PPE,Hygiene,Flatten the curve,Explain the nature of the crisis in general,Explain coronavirus,"Map symptoms, diagnosis, treatment",Explain transimission  & reasonableness of intervention,Contact Tracing,Health Equity & Vulnerability,Normalize,Log/ Linear,Data disclaimer,Uncertainty VIS,Annotation Events
"Speed Science
The risks of swiftly spreading coronavirus research",https://graphics.reuters.com/CHINA-HEALTH-RESEARCH/0100B5ES3MG/index.html,Reuters Graphics,UK,News Media,5/10/2020,2/19/2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COVID-19 Surveillance Dashboard,https://nssac.bii.virginia.edu/covid-19/dashboard/,"Biocomplexity Insitutute, University of Virginia",USA,NGO,3/19/2020,2/21/2020,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
How are Singapore’s COVID-19 cases related?,https://kontinentalist.com/stories/singapore-coronavirus-cases-spread-connections,Kontinentalist,Singapore,News Media,5/18/2020,2/21/2020,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"13,000 Missing Flights: The Global Consequences of the Coronavirus - The New York Times",https://www.nytimes.com/interactive/2020/02/21/business/coronavirus-airline-travel.html,New York Times,USA,News Media,5/21/2020,2/21/2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Report of the WHO-China Joint Mission on Coronavirus Disease 2019 (COVID-19),https://www.who.int/docs/default-source/coronaviruse/who-china-joint-mission-on-covid-19-final-report.pdf,WHO,Switzerland,NGO,3/19/2020,2/24/2020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The Coronavirus and Carbon Emissions - The New York Times,https://www.nytimes.com/2020/02/26/climate/nyt-climate-newsletter-coronavirus.html,New York Times,USA,News Media,5/30/2020,2/26/20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Coronavirus: Head-shaking doctors and non-hand-shaking workers - SWI swissinfo.ch,https://www.swissinfo.ch/eng/covid-19_coronavirus--head-shaking-doctors-and-non-hand-shaking-workers/45580772,SWI swissinfo.ch,Switzerland,News Media,3/19/2020,2/26/2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Coronavirus shutdown leaves China with cleaner air to breathe,https://www.ft.com/content/ab75fdd8-6c84-4e81-b8df-43a2c8eb7568,Financial Times,UK,News Media,3/19/2020,2/27/2020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
How Bad Will the Coronavirus Outbreak Get? Here Are 6 Key Factors - The New York Times,https://www.nytimes.com/interactive/2020/world/asia/china-coronavirus-contain.html,New York Times,USA,News Media,5/3/2020,2/28/2020,TRUE,FALSE,TRUE,Animation,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"The world gets ready - Covid-19 is now in 50 countries, and things will get worse | Briefing | The Economist",https://www.economist.com/briefing/2020/02/29/covid-19-is-now-in-50-countries-and-things-will-get-worse,The Economist,UK,News Media,5/23/2020,2/29/2020,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
